city_name,country,date,latitude,longitude,temp,humidity,cloudiness,wind_speed
Tiksi,RU,1612267484,71.6872,128.8694,-2.15,93,100,18.59
Ulaangom,MN,1612267484,49.9811,92.0667,-12.89,88,82,0.98
Clyde River,CA,1612267484,70.4692,-68.5914,-25.6,68,1,5.75
Atasū,KZ,1612267484,48.6814,71.6433,11.01,89,25,3.96
Berzunţi,RO,1612267485,46.4,26.6333,41.0,80,0,8.05
Parrita,CR,1612267485,9.5201,-84.3225,69.8,77,20,16.11
Tuktoyaktuk,CA,1612267485,69.4541,-133.0374,-27.65,86,100,7.76
Fort Nelson,CA,1612267485,58.8053,-122.7002,-7.6,71,90,5.75
Hoyerswerda,DE,1612267485,51.4333,14.25,37.99,90,100,6.69
Klyuchi,RU,1612267485,52.2667,79.1667,3.56,94,37,7.38
Adrar,MR,1612267485,20.5022,-10.0711,82.63,14,14,15.23
Malakal,SS,1612267486,9.5334,31.6605,103.23,11,10,7.63
Riyadh,SA,1612267268,24.6877,46.7219,78.8,21,0,8.05
Vestmannaeyjar,IS,1612267346,63.4427,-20.2734,33.8,100,90,31.07
Constitución,CL,1612267486,-35.3333,-72.4167,61.92,77,48,1.77
George Town,MY,1612267233,5.4112,100.3354,84.2,79,20,5.75
Mount Gambier,AU,1612267486,-37.8333,140.7667,59.0,67,90,9.22
Namatanai,PG,1612267486,-3.6667,152.4333,79.11,85,100,9.42
Iqaluit,CA,1612267487,63.7506,-68.5145,-22.0,69,75,5.5
Amga,RU,1612267487,60.8953,131.9608,-37.53,79,100,4.12
Tapah,MY,1612267487,4.2004,101.2598,84.2,79,40,6.91
Margate,GB,1612267454,51.3813,1.3862,54.0,86,80,1.99
Flin Flon,CA,1612267487,54.7682,-101.865,11.89,97,100,4.88
Ulety,RU,1612267487,51.3572,112.4849,-16.49,82,1,4.43
Bang Sai,TH,1612267487,14.2124,100.4966,89.6,37,0,4.61
East London,ZA,1612267488,-33.0153,27.9116,77.0,57,20,20.71
Narsaq,GL,1612267488,60.9167,-46.05,24.8,80,75,8.05
Talaya,RU,1612267488,61.3833,152.75,-30.19,81,100,4.07
Egvekinot,RU,1612267488,66.3167,-179.1667,3.43,96,100,9.66
Portland,US,1612267116,45.5234,-122.6762,46.4,87,90,6.91
Keetmanshoop,NA,1612267518,-26.5833,18.1333,92.88,14,0,4.41
Cuamba,MZ,1612267519,-14.8031,36.5372,85.87,64,55,2.98
Hazebrouck,FR,1612267519,50.7237,2.5373,53.01,91,97,14.56
Touros,BR,1612267519,-5.1989,-35.4608,82.4,69,40,16.11
Trabzon Province,TR,1612267520,40.9167,39.8333,66.2,26,0,9.22
Grindavik,IS,1612267520,63.8424,-22.4338,33.8,64,75,19.57
Bud,US,1612267520,39.447,-86.1758,21.99,86,1,5.75
At-Bashi,KG,1612267521,41.1702,75.8106,14.54,84,3,0.78
Tabuk,PH,1612267521,17.4189,121.4443,68.86,88,79,6.58
Matara,LK,1612267521,5.9485,80.5353,82.83,77,52,6.8
Tiarei,PF,1612267521,-17.5333,-149.3333,78.01,83,20,2.3
Severo-Kuril'sk,RU,1612267521,50.6789,156.125,30.67,95,87,17.72
Palmer,US,1612267521,42.1584,-72.3287,32.0,74,90,18.41
Ahipara,NZ,1612267521,-35.1667,173.1667,60.8,88,48,1.92
Tortolì,IT,1612267522,39.9256,9.6572,62.01,77,0,10.36
Kavieng,PG,1612267522,-2.5744,150.7967,81.28,83,100,17.69
Fairmont,US,1612267522,39.4851,-80.1426,27.0,93,100,1.99
Makkah al Mukarramah,SA,1612267522,21.4267,39.8261,87.58,39,36,19.77
Chapais,CA,1612267522,49.7834,-74.8492,19.4,100,90,5.75
Gryazovets,RU,1612267522,58.88,40.2525,18.72,97,91,9.91
Souillac,MU,1612267522,-20.5167,57.5167,87.8,62,75,14.97
Pacific Grove,US,1612267381,36.6177,-121.9166,52.0,87,75,3.44
Lesnoy,RU,1612267523,57.6198,63.0784,22.42,98,100,6.93
Poum,NC,1612267523,-20.2333,164.0167,75.7,85,97,29.28
Opuwo,NA,1612267523,-18.0607,13.84,87.67,18,28,4.34
Kurchum,KZ,1612267523,48.5722,83.6542,19.02,97,100,2.89
Progreso,MX,1612267523,21.2833,-89.6667,64.99,59,75,5.75
Cherskiy,RU,1612267523,68.75,161.3,5.36,87,82,5.57
Waipawa,NZ,1612267524,-41.4122,175.5153,60.8,88,86,3.44
Faya,SA,1612267524,18.3851,42.4509,77.0,40,0,13.8
Carnarvon,AU,1612267524,-24.8667,113.6333,80.6,94,90,12.66
Chibombo,ZM,1612267524,-14.6569,28.0706,78.44,74,100,2.82
Aquiraz,BR,1612267524,-3.9014,-38.3911,84.2,65,75,19.57
Lugovoy,KZ,1612267524,42.9472,72.7644,35.87,87,75,5.48
Portoferraio,IT,1612267525,42.8115,10.3146,59.0,87,40,8.05
Mabaruma,GY,1612267525,8.2,-59.7833,74.28,93,73,3.38
Gold Coast,AU,1612267521,-28.0,153.4333,71.01,100,75,4.61
Te Anau,NZ,1612267525,-45.4167,167.7167,54.23,91,51,1.48
Atambua,ID,1612267525,-9.1061,124.8925,76.06,88,92,1.7
Chui,UY,1612267525,-33.6971,-53.4616,75.47,79,0,3.83
Dumraon,IN,1612267526,25.55,84.15,64.24,46,0,5.12
Berbera,SO,1612267526,10.4396,45.0143,79.75,52,16,18.97
Pontes e Lacerda,BR,1612267307,-15.2261,-59.3353,80.71,75,97,1.36
Umm Kaddadah,SD,1612267526,13.6017,26.6876,94.53,11,0,2.93
Linhares,BR,1612267526,-19.3911,-40.0722,83.37,64,97,3.44
Barrow,US,1612267526,71.2906,-156.7887,-25.6,68,1,11.5
Raja,SS,1612267526,8.4596,25.678,103.05,12,2,5.84
Kutum,SD,1612267527,14.2,24.6667,87.57,13,0,9.89
Inírida,CO,1612267527,3.8653,-67.9239,74.34,96,99,0.98
Nanortalik,GL,1612267557,60.1432,-45.2371,18.84,91,0,10.33
Suntar,RU,1612267557,62.1444,117.6319,-36.58,80,97,6.58
